class,precision,recall,f1-score,support
PVALB-expressing interneuron,0.91280353200883,0.9419134396355353,0.9271300448430493,878.0
SST-expressing interneuron,0.7816901408450704,0.8604651162790697,0.8191881918819188,258.0
SV2C-expressing interneuron,0.9476923076923077,0.8953488372093024,0.9207772795216741,344.0
VIP-expressing interneuron,0.9724612736660929,0.9758203799654577,0.9741379310344828,1158.0
astrocyte,0.9697640117994101,0.9887218045112782,0.9791511541325391,1330.0
cortical layer 2-3 excitatory neuron A,0.33588957055214724,0.697452229299363,0.453416149068323,314.0
cortical layer 2-3 excitatory neuron B,0.9189041095890411,0.7699724517906336,0.837871596302773,2178.0
cortical layer 4 excitatory neuron,0.817008797653959,0.9261968085106383,0.8681832346525398,1504.0
cortical layer 5-6 excitatory neuron,0.8704856787048568,0.8071593533487298,0.8376273217495507,1732.0
endothelial cell,0.9659090909090909,1.0,0.9826589595375722,170.0
microglial cell,0.9629629629629629,0.8813559322033898,0.9203539823008849,118.0
mixed excitatory neuron,0.27388535031847133,0.23243243243243245,0.25146198830409355,185.0
mixed glial cell?,0.9023904382470119,0.7905759162303665,0.8427906976744186,573.0
oligodendrocyte A,0.9798994974874372,0.962171052631579,0.970954356846473,1216.0
oligodendrocyte C,1.0,0.029411764705882353,0.05714285714285714,34.0
oligodendrocyte precursor cell,0.9330406147091108,0.9815242494226328,0.9566685424873382,866.0
phagocyte,0.775,0.7560975609756098,0.7654320987654321,82.0
pyramidal neuron?,0.8822393822393823,0.865530303030303,0.8738049713193117,528.0
macro avg,0.8445570421880658,0.7978972017879002,0.7910417420869573,13468.0
weighted avg,0.8907663310088354,0.8760766260766261,0.8788641290736625,13468.0
